id,order id,order date,country,city,region,subregion,customer,customer id,industry,segment,product,sales,quantity,discount,profit,purchase_month,profit_margin,rev_per_unit,discount_category
1,EMEA-2022-152156,09/11/2022,Ireland,Dublin,EMEA,UKIR,Chevron,1017,Energy,SMB,Marketing Suite,261.96,2,0,41.91,2022-11,16,130.98,No Discount (0-0)
2,EMEA-2022-152156,09/11/2022,Ireland,Dublin,EMEA,UKIR,Chevron,1017,Energy,SMB,FinanceHub,731.94,3,0,219.58,2022-11,30,243.98,No Discount (0-0)
3,AMER-2022-138688,13/06/2022,United States,New York City,AMER,NAMER,Phillips 66,1056,Energy,Strategic,FinanceHub,14.62,2,0,6.87,2022-06,47,7.31,No Discount (0-0)
4,EMEA-2021-108966,11/10/2021,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,1031,Energy,SMB,ContactMatcher,957.58,5,0.45,-383.03,2021-10,-40,191.52,Moderately High Discount (0.4-0.5)
5,EMEA-2021-108966,11/10/2021,Germany,Stuttgart,EMEA,EU-WEST,Royal Dutch Shell,1031,Energy,SMB,Marketing Suite - Gold,22.37,2,0.2,2.52,2021-10,11.25,11.18,Low Discount (0.1-0.2)
6,AMER-2020-115812,09/06/2020,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,SaaS Connector Pack,48.86,7,0,14.17,2020-06,29,6.98,No Discount (0-0)
7,AMER-2020-115812,09/06/2020,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,ChatBot Plugin,7.28,4,0,1.97,2020-06,27,1.82,No Discount (0-0)
8,AMER-2020-115812,09/06/2020,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,Site Analytics,907.15,6,0.2,90.72,2020-06,10,151.19,Low Discount (0.1-0.2)
9,AMER-2020-115812,09/06/2020,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,ContactMatcher,18.5,3,0.2,5.78,2020-06,31.25,6.17,Low Discount (0.1-0.2)
10,AMER-2020-115812,09/06/2020,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,OneView,114.9,5,0,34.47,2020-06,30,22.98,No Discount (0-0)
11,AMER-2020-115812,09/06/2020,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,ContactMatcher,1706.18,9,0.2,85.31,2020-06,5,189.58,Low Discount (0.1-0.2)
12,AMER-2020-115812,09/06/2020,United States,New York City,AMER,NAMER,BNP Paribas,1065,Finance,SMB,Site Analytics,911.42,4,0.2,68.36,2020-06,7.5,227.86,Low Discount (0.1-0.2)
13,EMEA-2023-114412,16/04/2023,Sweden,Stockholm,EMEA,NOR,Engie,1062,Energy,SMB,Support,15.55,3,0.2,5.44,2023-04,35,5.18,Low Discount (0.1-0.2)
14,AMER-2022-161389,06/12/2022,Canada,Toronto,AMER,NAMER,Microsoft,1066,Tech,SMB,ContactMatcher,407.98,3,0.2,132.59,2022-12,32.5,135.99,Low Discount (0.1-0.2)
15,APJ-2021-118983,22/11/2021,Japan,Saitama,APJ,JAPN,Pfizer,1074,Healthcare,Enterprise,OneView,68.81,5,0.8,-123.86,2021-11,-180,13.76,Extremely High Discount (0.7-0.8)
16,APJ-2021-118983,22/11/2021,Japan,Saitama,APJ,JAPN,Pfizer,1074,Healthcare,Enterprise,ContactMatcher,2.54,3,0.8,-3.82,2021-11,-150,0.85,Extremely High Discount (0.7-0.8)
17,EMEA-2020-105893,11/11/2020,Italy,Naples,EMEA,EU,Toyota Motor,1087,Manufacturing,SMB,Marketing Suite - Gold,665.88,6,0,13.32,2020-11,2,110.98,No Discount (0-0)
